epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.69997,0,35.1786,0,0,0,0,0,0,4.75047,0,0,0,0
2,8.65529,0,35.2187,0,0,0,0,0,0,4.75251,0,1.41485e-05,1.41485e-05,1.41485e-05
3,12.5988,0,35.0472,0,0,0,0,0,0,4.75425,0,2.80141e-05,2.80141e-05,2.80141e-05
4,16.7456,0,34.9064,0,0,0,0,0,0,4.75584,0,4.15968e-05,4.15968e-05,4.15968e-05
5,20.816,0,34.9654,0,0,0,0,0,0,4.75712,0,5.48965e-05,5.48965e-05,5.48965e-05
6,24.7516,0,34.7432,0,0,0,0,0,0,4.75816,0,6.79132e-05,6.79132e-05,6.79132e-05
7,28.8947,0,34.5193,0,0,0,0,0,0,4.75912,0,8.0647e-05,8.0647e-05,8.0647e-05
8,32.9288,0,34.5645,0,0,0,0,0,0,4.76006,0,9.30979e-05,9.30979e-05,9.30979e-05
9,36.8495,0,34.3068,0,0,0,0,0,0,4.76055,0,0.000105266,0.000105266,0.000105266
10,40.9658,0,34.0358,0,0,0,0,0,0,4.76084,0,0.000117151,0.000117151,0.000117151
11,45.253,0,33.8518,0,0,0,0,0,0,4.76114,0,0.000128753,0.000128753,0.000128753
12,49.3999,0,33.7019,0,0,0,0,0,0,4.76139,0,0.000140072,0.000140072,0.000140072
13,53.5097,0,33.5399,0,0,0,0,0,0,4.76179,0,0.000151108,0.000151108,0.000151108
14,57.5918,0,33.3437,0,0,0,0,0,0,4.76136,0,0.000161861,0.000161861,0.000161861
15,61.9102,0,33.1067,0,0,0,0,0,0,4.75999,0,0.000172332,0.000172332,0.000172332
16,66.4061,0,32.9373,0,0,0,0,0,0,4.75812,0,0.000182519,0.000182519,0.000182519
17,70.5526,0,32.6302,0,0,0,0,0,0,4.75558,0,0.000192423,0.000192423,0.000192423
18,74.1511,0,32.4446,0,0,0,0,0,0,4.75558,0,0.000202045,0.000202045,0.000202045
19,77.9275,0,32.4188,0,0,0,0,0,0,4.75428,0,0.000211383,0.000211383,0.000211383
20,81.8095,0,32.3184,0,0,0,0,0,0,4.75428,0,0.000220439,0.000220439,0.000220439
21,85.8014,0,32.2075,0,0,0,0,0,0,4.75273,0,0.000229212,0.000229212,0.000229212
22,89.8246,0,31.93,0,0,0,0,0,0,4.75273,0,0.000237701,0.000237701,0.000237701
23,93.9149,0,32.0153,0,0,0,0,0,0,4.75185,0,0.000245908,0.000245908,0.000245908
24,97.9151,0,31.7323,0,0,0,0,0,0,4.75185,0,0.000253832,0.000253832,0.000253832
25,101.899,0,31.6224,0,0,0,0,0,0,4.7541,0,0.000261473,0.000261473,0.000261473
26,105.803,0,31.3076,0,0,0,0,0,0,4.7541,0,0.000268831,0.000268831,0.000268831
27,110.119,0,31.4156,0,0,0,0,0,0,4.75709,0,0.000275906,0.000275906,0.000275906
28,114.089,0,31.0254,0,0,0,0,0,0,4.75709,0,0.000282698,0.000282698,0.000282698
29,118.322,0,31.0888,0,0,0,0,0,0,4.75631,0,0.000289207,0.000289207,0.000289207
30,122.395,0,30.8082,0,0,0,0,0,0,4.75631,0,0.000295433,0.000295433,0.000295433
31,126.38,0,30.6701,0,0,0,0,0,0,4.75469,0,0.000301376,0.000301376,0.000301376
32,129.681,0,30.3967,0,0,0,0,0,0,4.75469,0,0.000307036,0.000307036,0.000307036
33,133.277,0,30.4717,0,0,0,0,0,0,4.75256,0,0.000312414,0.000312414,0.000312414
34,136.697,0,30.1572,0,0,0,0,0,0,4.75256,0,0.000317508,0.000317508,0.000317508
35,140.351,0,30.127,0,0,0,0,0,0,4.74904,0,0.00032232,0.00032232,0.00032232
36,143.764,0,29.824,0,0,0,0,0,0,4.74904,0,0.000326848,0.000326848,0.000326848
37,147.543,0,29.7648,0,0,0,0,0,0,4.74479,0,0.000331094,0.000331094,0.000331094
38,150.874,0,29.4795,0,0,0,0,0,0,4.74479,0,0.000335056,0.000335056,0.000335056
39,154.512,0,29.5813,0,0,0,0,0,0,4.74077,0,0.000338736,0.000338736,0.000338736
40,158.189,0,29.2819,0,0,0,0,0,0,4.74077,0,0.000342133,0.000342133,0.000342133
41,162.167,0,29.1782,0,0,0,0,0,0,4.73665,0,0.000345246,0.000345246,0.000345246
42,165.848,0,28.8892,0,0,0,0,0,0,4.73665,0,0.000348077,0.000348077,0.000348077
43,169.917,0,28.8121,0,0,0,0,0,0,4.7341,0,0.000350625,0.000350625,0.000350625
44,173.509,0,28.5613,0,0,0,0,0,0,4.7341,0,0.00035289,0.00035289,0.00035289
45,177.573,0,28.6463,0,0,0,0,0,0,4.72838,0,0.000354872,0.000354872,0.000354872
46,181.354,0,28.2031,0,0,0,0,0,0,4.72838,0,0.000356571,0.000356571,0.000356571
47,185.512,0,28.3336,0,0,0,0,0,0,4.72301,0,0.000357987,0.000357987,0.000357987
48,189.392,0,28.0039,0,0,0,0,0,0,4.72301,0,0.000359121,0.000359121,0.000359121
49,193.562,0,27.9041,0,0,0,0,0,0,4.70963,0,0.000359971,0.000359971,0.000359971
50,197.469,0,27.6089,0,0,0,0,0,0,4.70963,0,0.000360538,0.000360538,0.000360538
51,201.513,0,27.631,0,0,0,0,0,0,4.69861,0,0.000360822,0.000360822,0.000360822
52,205.131,0,27.4709,0,0,0,0,0,0,4.69861,0,0.000360824,0.000360824,0.000360824
53,209.115,0,27.7405,0,0,0,0,0,0,4.69861,0,0.000360542,0.000360542,0.000360542
54,213.501,0,27.5492,0,0,0,0,0,0,4.68358,0,0.000359978,0.000359978,0.000359978
55,217.656,0,27.1206,0,0,0,0,0,0,4.68358,0,0.000359131,0.000359131,0.000359131
56,221.774,0,27.1248,0,0,0,0,0,0,4.68358,0,0.000358,0.000358,0.000358
57,226.156,0,27.151,0,0,0,0,0,0,4.68748,0,0.000356587,0.000356587,0.000356587
58,230.019,0,26.9521,0,0,0,0,0,0,4.68748,0,0.000354891,0.000354891,0.000354891
59,233.713,0,26.8679,0,0,0,0,0,0,4.68748,0,0.000352912,0.000352912,0.000352912
60,237.975,0,26.8384,0,0,0,0,0,0,4.69703,0,0.000350649,0.000350649,0.000350649
61,241.792,0,26.7021,0,0,0,0,0,0,4.69703,0,0.000348104,0.000348104,0.000348104
62,245.696,0,26.6648,0,0,0,0,0,0,4.69703,0,0.000345276,0.000345276,0.000345276
63,249.905,0,26.601,0,0,0,0,0,0,4.69148,0,0.000342165,0.000342165,0.000342165
64,253.579,0,26.5033,0,0,0,0,0,0,4.69148,0,0.000338772,0.000338772,0.000338772
65,257.481,0,26.5237,0,0,0,0,0,0,4.69148,0,0.000335095,0.000335095,0.000335095
66,261.548,0,26.4492,0,0,0,0,0,0,4.66272,0,0.000331135,0.000331135,0.000331135
67,264.817,0,26.2475,0,0,0,0,0,0,4.66272,0,0.000326892,0.000326892,0.000326892
68,268.452,0,26.3296,0,0,0,0,0,0,4.66272,0,0.000322367,0.000322367,0.000322367
69,272.411,0,26.24,0,0,0,0,0,0,4.63672,0,0.000317558,0.000317558,0.000317558
70,276.149,0,26.0836,0,0,0,0,0,0,4.63672,0,0.000312467,0.000312467,0.000312467
71,279.63,0,26.0309,0,0,0,0,0,0,4.63672,0,0.000307092,0.000307092,0.000307092
72,283.399,0,26.0888,0,0,0,0,0,0,4.59281,0,0.000301435,0.000301435,0.000301435
73,287.006,0,25.8327,0,0,0,0,0,0,4.59281,0,0.000295494,0.000295494,0.000295494
74,290.49,0,25.8251,0,0,0,0,0,0,4.59281,0,0.000289271,0.000289271,0.000289271
75,294.322,0,25.7692,0,0,0,0,0,0,4.56686,0,0.000282765,0.000282765,0.000282765
76,297.887,0,25.5673,0,0,0,0,0,0,4.56686,0,0.000275976,0.000275976,0.000275976
77,301.547,0,25.6553,0,0,0,0,0,0,4.56686,0,0.000268904,0.000268904,0.000268904
78,305.616,0,25.7345,0,0,0,0,0,0,4.53598,0,0.000261548,0.000261548,0.000261548
79,309.452,0,25.7382,0,0,0,0,0,0,4.53598,0,0.00025391,0.00025391,0.00025391
80,313.259,0,25.5437,0,0,0,0,0,0,4.53598,0,0.000245989,0.000245989,0.000245989
81,317.332,0,25.5177,0,0,0,0,0,0,4.51121,0,0.000237786,0.000237786,0.000237786
82,321.286,0,25.3434,0,0,0,0,0,0,4.51121,0,0.000229299,0.000229299,0.000229299
83,325.117,0,25.3301,0,0,0,0,0,0,4.51121,0,0.000220529,0.000220529,0.000220529
84,329.287,0,25.4486,0,0,0,0,0,0,4.48379,0,0.000211476,0.000211476,0.000211476
85,333.073,0,25.1972,0,0,0,0,0,0,4.48379,0,0.000202141,0.000202141,0.000202141
86,337.065,0,25.1731,0,0,0,0,0,0,4.48379,0,0.000192522,0.000192522,0.000192522
87,340.995,0,25.2087,0,0,0,0,0,0,4.48379,0,0.00018262,0.00018262,0.00018262
88,345.162,0,25.3066,0,0,0,0,0,0,4.45054,0,0.000172436,0.000172436,0.000172436
89,349.139,0,25.2535,0,0,0,0,0,0,4.45054,0,0.000161969,0.000161969,0.000161969
90,352.963,0,25.0529,0,0,0,0,0,0,4.45054,0,0.000151218,0.000151218,0.000151218
91,357.222,0,25.2577,0,0,0,0,0,0,4.45054,0,0.000140185,0.000140185,0.000140185
92,361.112,0,25.1046,0,0,0,0,0,0,4.41655,0,0.000128869,0.000128869,0.000128869
93,364.952,0,25.0948,0,0,0,0,0,0,4.41655,0,0.000117269,0.000117269,0.000117269
94,368.606,0,25.0782,0,0,0,0,0,0,4.41655,0,0.000105387,0.000105387,0.000105387
95,372.465,0,24.9624,0,0,0,0,0,0,4.41655,0,9.32222e-05,9.32222e-05,9.32222e-05
96,376.803,0,25.1209,0,0,0,0,0,0,4.38589,0,8.07742e-05,8.07742e-05,8.07742e-05
97,380.684,0,25.0863,0,0,0,0,0,0,4.38589,0,6.80433e-05,6.80433e-05,6.80433e-05
98,384.399,0,25.0488,0,0,0,0,0,0,4.38589,0,5.50294e-05,5.50294e-05,5.50294e-05
99,388.295,0,25.0248,0,0,0,0,0,0,4.38589,0,4.17325e-05,4.17325e-05,4.17325e-05
100,392.432,0,25.1667,0,0,0,0,0,0,4.35488,0,2.81527e-05,2.81527e-05,2.81527e-05
